ArraySize,AlgorithmName,Runtime
1,Naive,0.01
1,MedianOfMedians,0.0
1,Randomized,0.01
10,Naive,0.01
10,MedianOfMedians,0.01
10,Randomized,0.01
50,Naive,0.04
50,MedianOfMedians,0.01
50,Randomized,0.0
100,Naive,0.02
100,MedianOfMedians,0.02
100,Randomized,0.0
500,Naive,0.09
500,MedianOfMedians,0.08
500,Randomized,0.01
1000,Naive,0.14
1000,MedianOfMedians,0.16
1000,Randomized,0.02
2500,Naive,0.26
2500,MedianOfMedians,0.27
2500,Randomized,0.05
5000,Naive,0.6
5000,MedianOfMedians,0.48
5000,Randomized,0.03
7500,Naive,0.57
7500,MedianOfMedians,0.8
7500,Randomized,0.16
10000,Naive,0.9
10000,MedianOfMedians,0.81
10000,Randomized,0.16
50000,Naive,3.49
50000,MedianOfMedians,3.29
50000,Randomized,0.66
75000,Naive,5.15
75000,MedianOfMedians,4.18
75000,Randomized,0.91
100000,Naive,6.26
100000,MedianOfMedians,5.02
100000,Randomized,1.09
500000,Naive,36.78
500000,MedianOfMedians,26.03
500000,Randomized,5.59
750000,Naive,67.4
750000,MedianOfMedians,47.6
750000,Randomized,10.83
1000000,Naive,103.16
1000000,MedianOfMedians,70.34
1000000,Randomized,15.68
2500000,Naive,234.41
2500000,MedianOfMedians,150.93
2500000,Randomized,36.89
5000000,Naive,503.89
5000000,MedianOfMedians,303.11
5000000,Randomized,74.28
7500000,Naive,797.39
7500000,MedianOfMedians,468.64
7500000,Randomized,114.88
10000000,Naive,971.37
10000000,MedianOfMedians,579.26
10000000,Randomized,142.03
